
Note: No compatibility mode selected!


Circuit: * tb_chip_spi.spice -- chip-level ngspice testbench for tr_1um_3wire_spi.

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
xdut.x2.shift_clk_row0             2.05775e-08
xdut.x2.x_74_.x1_net1                        5
xdut.x2.x_74_.net1                 2.19645e-08
xdut.x2.x_74_.x1_net2                        5
xdut.x2.x_74_.x1_ckp               2.08524e-08
xdut.x2.x_74_.x1_ckb                         5
xdut.x2.x_74_.x1_net3                  4.14374
xdut.x2.x_74_.x1_qm                2.60779e-08
xdut.x2.x_74_.x1_net4                        5
xdut.x2._26_                                 5
xdut.x2.x_74_.x1_qs                7.29558e-08
xdut.x2.x_74_.x1_net5              4.95168e-08
xdut.x2.x_74_.x1_net6                 0.034793
xdut.x2.x_74_.x2_sb                          5
xdut.x2.x_74_.x2_net2                        5
xdut.x2.x_74_.x2_net3                        5
xdut.x2.x_74_.x2_net1                        5
xdut.x2.x_75_.x1_net1                        5
xdut.x2.x_75_.net1                 2.19645e-08
xdut.x2.x_75_.x1_net2                        5
xdut.x2.x_75_.x1_ckp               2.08524e-08
xdut.x2.x_75_.x1_ckb                         5
xdut.x2.x_75_.x1_net3                  4.14374
xdut.x2.x_75_.x1_qm                2.60779e-08
xdut.x2.x_75_.x1_net4                        5
xdut.x2._27_                                 5
xdut.x2.x_75_.x1_qs                7.29558e-08
xdut.x2.x_75_.x1_net5              4.95168e-08
xdut.x2.x_75_.x1_net6                 0.034793
xdut.x2.x_75_.x2_sb                          5
xdut.x2.x_75_.x2_net2                        5
xdut.x2.x_75_.x2_net3                        5
xdut.x2.x_75_.x2_net1                        5
xdut.x2.x_76_.x1_net1                        5
xdut.x2.x_76_.net1                 2.19645e-08
xdut.x2.x_76_.x1_net2                        5
xdut.x2.x_76_.x1_ckp               2.08524e-08
xdut.x2.x_76_.x1_ckb                         5
xdut.x2.x_76_.x1_net3                  4.14374
xdut.x2.x_76_.x1_qm                2.60779e-08
xdut.x2.x_76_.x1_net4                        5
xdut.x2._28_                                 5
xdut.x2.x_76_.x1_qs                7.29558e-08
xdut.x2.x_76_.x1_net5              4.95168e-08
xdut.x2.x_76_.x1_net6                 0.034793
xdut.x2.x_76_.x2_sb                          5
xdut.x2.x_76_.x2_net2                        5
xdut.x2.x_76_.x2_net3                        5
xdut.x2.x_76_.x2_net1                        5
xdut.x2.x_77_.x1_net1                        5
xdut.x2.x_77_.net1                 2.19645e-08
xdut.x2.x_77_.x1_net2                        5
xdut.x2.x_77_.x1_ckp               2.08524e-08
xdut.x2.x_77_.x1_ckb                         5
xdut.x2.x_77_.x1_net3                  4.14374
xdut.x2.x_77_.x1_qm                2.60779e-08
xdut.x2.x_77_.x1_net4                        5
xdut.x2._29_                                 5
xdut.x2.x_77_.x1_qs                7.29558e-08
xdut.x2.x_77_.x1_net5              4.95168e-08
xdut.x2.x_77_.x1_net6                 0.034793
xdut.x2.x_77_.x2_sb                          5
xdut.x2.x_77_.x2_net2                        5
xdut.x2.x_77_.x2_net3                        5
xdut.x2.x_77_.x2_net1                        5
xdut.x2.x_78_.x1_net1                        5
xdut.x2.x_78_.net1                 2.19645e-08
xdut.x2.x_78_.x1_net2                        5
xdut.x2.x_78_.x1_ckp               2.08524e-08
xdut.x2.x_78_.x1_ckb                         5
xdut.x2.x_78_.x1_net3                  4.14374
xdut.x2.x_78_.x1_qm                2.60779e-08
xdut.x2.x_78_.x1_net4                        5
xdut.x2._30_                                 5
xdut.x2.x_78_.x1_qs                7.29558e-08
xdut.x2.x_78_.x1_net5              4.95168e-08
xdut.x2.x_78_.x1_net6                 0.034793
xdut.x2.x_78_.x2_sb                          5
xdut.x2.x_78_.x2_net2                        5
xdut.x2.x_78_.x2_net3                        5
xdut.x2.x_78_.x2_net1                        5
xdut.x2.x_79_.x1_net1                        5
xdut.x2.x_79_.net1                 2.19645e-08
xdut.x2.x_79_.x1_net2                        5
xdut.x2.x_79_.x1_ckp               2.08524e-08
xdut.x2.x_79_.x1_ckb                         5
xdut.x2.x_79_.x1_net3                  4.14374
xdut.x2.x_79_.x1_qm                2.60779e-08
xdut.x2.x_79_.x1_net4                        5
xdut.x2._31_                                 5
xdut.x2.x_79_.x1_qs                7.29558e-08
xdut.x2.x_79_.x1_net5              4.95168e-08
xdut.x2.x_79_.x1_net6                 0.034793
xdut.x2.x_79_.x2_sb                          5
xdut.x2.x_79_.x2_net2                        5
xdut.x2.x_79_.x2_net3                        5
xdut.x2.x_79_.x2_net1                        5
xdut.x2.x_80_.x1_net1                        5
xdut.x2.x_80_.net1                 2.19645e-08
xdut.x2.x_80_.x1_net2                        5
xdut.x2.x_80_.x1_ckp               2.08524e-08
xdut.x2.x_80_.x1_ckb                         5
xdut.x2.x_80_.x1_net3                  4.14374
xdut.x2.x_80_.x1_qm                2.60779e-08
xdut.x2.x_80_.x1_net4                        5
xdut.x2._32_                                 5
xdut.x2.x_80_.x1_qs                7.29558e-08
xdut.x2.x_80_.x1_net5              4.95168e-08
